"Trait","PC","Loading"
"logRS","PC1",-0.469767928340381
"logRS","PC2",0.19394437989558
"logRS","PC3",0.0278637572527575
"logRS","PC4",-0.439784789563032
"logRS","PC5",0.443386568283702
"HB","PC1",-0.376589402840213
"HB","PC2",0.197891345723575
"HB","PC3",0.448333063958293
"HB","PC4",-0.235281717215107
"HB","PC5",-0.748961856180932
"logTR","PC1",-0.502414550936296
"logTR","PC2",0.278754714569379
"logTR","PC3",-0.0666762559405584
"logTR","PC4",-0.0553520351760606
"logTR","PC5",0.303539498026001
"logHWI","PC1",-0.347760240060289
"logHWI","PC2",-0.197742760057135
"logHWI","PC3",0.499225816889325
"logHWI","PC4",0.71757957733844
"logHWI","PC5",0.202667636348023
"logGL","PC1",-0.286730158005798
"logGL","PC2",-0.612826838391234
"logGL","PC3",-0.0650276233574864
"logGL","PC4",-0.116910756348759
"logGL","PC5",-0.0597903226683088
"logCS","PC1",-0.305497319484768
"logCS","PC2",0.34422410718432
"logCS","PC3",-0.638827173621775
"logCS","PC4",0.455871023985931
"logCS","PC5",-0.290847988041886
"logBM","PC1",-0.297654420241864
"logBM","PC2",-0.558901809735418
"logBM","PC3",-0.363620937077826
"logBM","PC4",-0.108448325676081
"logBM","PC5",-0.145212453095627
